index	*ID	version	disabled	spawnable	disableChronicle	DropConditionCalc	firstLadderSeason	lastLadderSeason	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
JM Rainbow Facet Cold Death	393	100		1					1	1	85	49	jew	jewel	0	3	5000								dmg-cold	3	35	38	pierce-cold		5	5	extra-cold		5	5	death-skill	Blizzard	100	37																																		0
JM Rainbow Facet Fire Death	394	100		1					1	1	85	49	jew	jewel	0	3	5000								dmg-fire		38	45	pierce-fire		5	5	extra-fire		5	5	death-skill	Meteor	100	31																																		0
JM Rainbow Facet Poison Death	395	100		1					1	1	85	49	jew	jewel	0	3	5000								dmg-pois	50	187	187	pierce-pois		5	5	extra-pois		5	5	death-skill	Poison Nova	100	51																																		0
JM Rainbow Facet Lightning LevelUp	396	100		1					1	1	85	49	jew	jewel	0	3	5000								dmg-ltng		56	74	pierce-ltng		5	5	extra-ltng		5	5	levelup-skill	Nova	100	41																																		0
JM Rainbow Facet Cold LevelUp	397	100		1					1	1	85	49	jew	jewel	0	3	5000								dmg-cold	3	35	38	pierce-cold		5	5	extra-cold		5	5	levelup-skill	Frost Nova	100	43																																		0
JM Rainbow Facet Fire LevelUp	398	100		1					1	1	85	49	jew	jewel	0	3	5000								dmg-fire		38	45	pierce-fire		5	5	extra-fire		5	5	levelup-skill	Blaze	100	29																																		0
JM Rainbow Facet Poison LevelUp	399	100		1					1	1	85	49	jew	jewel	0	3	5000								dmg-pois	50	187	187	pierce-pois		5	5	extra-pois		5	5	levelup-skill	Venom	100	23																																		0
Hellfire Torch	400	100		1					1		85	75	cm2	charm	1003	3	5000			flptrch	invtrch	item_gem	12	item_gem	randclassskill		0	7	all-stats		18	20	res-all		18	20	light		8	8	hit-skill	197	5	10	charged	Hydra	10	30																										0
Cold Rupture	401	100							1	1	69	75	cm3	charm	0	3	5000	lblu	lblu						pierce-immunity-cold		300	300	res-cold		-75	-70																																										0
Flame Rift	402	100							1	1	69	75	cm3	charm	0	3	5000	lred	lred						pierce-immunity-fire		300	300	res-fire		-75	-70																																										0
Crack of the Heavens	403	100							1	1	69	75	cm3	charm	0	3	5000	lyel	lyel						pierce-immunity-light		300	300	res-ltng		-75	-70																																										0
Rotting Fissure	404	100							1	1	69	75	cm3	charm	0	3	5000	lgrn	lgrn						pierce-immunity-poison		300	300	res-pois		-75	-70																																										0
Bone Break	405	100							1	1	69	75	cm3	charm	0	3	5000	whit	whit						pierce-immunity-damage		300	300	red-dmg%		-12	-10																																										0
Black Cleft	406	100							1	1	69	75	cm3	charm	0	3	5000	lgry	lgry						pierce-immunity-magic		300	300	res-mag		-50	-45																																										0
Warlock Class Pack																																																																										0
Ars Al'Diablolos	408	100		1					1	1	85	80	waf	blasphemous grimoire	0	5	5000	cred	cred		invbbb				skilltab	23	2	2	gethit-skill	Terror	15	1	cast1		25	25	ac%		170	200	extra-fire		23	25	light		9	10	mana-kill		9	10	res-fire		28	30	skill	Apocalypse	5	5														0
Ars Tor'Baalos	409	100		1					1	1	85	73	wae	blasphemous compendium	0	5	5000				invbbb				skilltab	21	2	2	gethit-skill	Decrepify	15	1	skill	Demonic Mastery	3	3	skill	Blood Boil	4	4	skill	Engorge	3	3	skill	Consume	3	3	ac%	 	120	150	hp/lvl	12			red-dmg%		9	10														0
Ars Dul'Mephistos	410	100		1					1	1	85	78	wac	occult tome	0	5	5000	cblu	cblu		invbbb				war		2	2	gethit-skill	Blizzard	15	28	cast1		28	30	balance1		30	30	dmg%		104	115	att%		65	70	ac%		140	170	pierce-mag		18	20	mag%		22	25														0
Measured Wrath	411	100		1					3	1	58	52	wa6	burnt text	0	3	5000				invbbb				war		1	1	gethit-skill	Ring of Fire	5	25	cast1		25	25	ac%		130	180	skill	Summon Tainted	3	3	skill	Ring of Fire	3	3	skill	Flame Wave	3	3	vit		18	20	heal-kill		5	5	res-all		28	30										0
Dreadfang	412	100		1					2	1	69	61	72h	legend sword	0	3	5000	blac	blac		inv2hsu				hit-skill	Amplify Damage	33	3	swing1		33	33	dmg%		158	166	manasteal		6	6	deadly		33	33	skill	Mirrored Blades	3	3	att%		33	33	ease		-33	-33																		0
Wraithstep	413	100		1					2	1	73	67	utb	mirrored boots	0	3	5000	lgry	lgry						skilltab-war		1	1	move1		30	30	balance1		20	20	ac		55	60	dex		14	15	enr		14	15																										0
Bloodpact Shard	414	100		1					2	1	73	67	7di	mithril point	0	3	5000	dred	dred						allskills		1	1	cast1		30	30	hp%		14	15	skill	Blood Oath	3	3	skill	Blood Boil	3	3	skill	Bind Demon	3	3	mag%		32	35	slow		25	25																		0
Sling	415	100		1					1	1	58	50	rin	Ring	0	3	5000			flprin					oskill	Townportal O Skill	1	1	cast1		10	10	pierce-mag		5	5	enr		14	15	slow		15	15	mag%		18	20																										0
Opalvein	416	100		1					1	1	58	50	rin	Ring	0	3	5000			flprin					att-skill	Flame Wave	2	15	magdam-rand		1	1	cast1		10	10	res-all		8	8	heal-kill		3	3	mana-kill		3	3																										0
Entropy Locket	417	100		1					1	1	60	54	amu	Amulet	0	3	5000								hit-skill	Miasma Chains	4	19	extra-mag		9	10	cast1		9	10	res-ltng		37	40	mana%		14	15	red-mag		11	12																										0
Gheed's Wager	418	100		1					1	1	79	71	utc	troll belt	0	3	5000	dgld	dgld						cast1		18	20	balance1		18	20	move1		18	20	ac%		90	150	pierce-mag		6	7	res-all		13	15	gold%		68	75																						0
Unique Warlock Helm	419	100		1					2	1	55	50	xsk	death mask	0	3	5000				invmsk				allskills		1	1	pierce-fire		8	8	pierce-mag		8	8	cast1		20	20	swing2		20	20	ac%		150	215	mana-kill		6	6																						0
Defender's Bile	420	100							1	1	85	75	cjw	jewel	0	3	5000				invgswe				Gethit-skill	68	1	25	extra-pois		9	10	dmg-pois	25	975	975	pierce-pois		9	10	addxp		5	5	mag%		30	35	gold%		44	50																						0
Guardian's Thunder	421	100							1	1	85	75	cjw	jewel	0	3	5000				invgswe				Gethit-skill	235	1	25	extra-ltng		9	10	dmg-ltng		57	75	pierce-ltng		9	10	addxp		5	5	mag%		30	35	gold%		44	50																						0
Protector's Frost	422	100							1	1	85	75	cjw	jewel	0	3	5000				invgswe				Gethit-skill	40	1	25	extra-cold		9	10	dmg-cold	125	25	30	pierce-cold		9	10	addxp		5	5	mag%		30	35	gold%		44	50																						0
Defender's Fire	423	100							1	1	85	75	cjw	jewel	0	3	5000				invgswe				Gethit-skill	46	1	25	extra-fire		9	10	dmg-fire		50	60	pierce-fire		9	10	addxp		5	5	mag%		30	35	gold%		44	50																						0
Protector's Stone	424	100							1	1	85	75	cjw	jewel	0	3	5000				invgswe				Gethit-skill	267	1	15	dmg%		45	50	dmg-norm		25	30	pierce-dmg		9	10	addxp		5	5	mag%		30	35	gold%		44	50																						0
Guardian's Light	425	100							1	1	85	75	cjw	jewel	0	3	5000				invgswe				Gethit-skill	387	1	25	extra-mag		9	10	dmg-mag		30	35	pierce-mag		9	10	addxp		5	5	mag%		30	35	gold%		44	50																						0
PreCrafted Cold Rupture	426	100		1					1	1	69	75	cm3	charm	0	3	5000	lblu	lblu						pierce-immunity-cold		300	300	res-cold		-75	-70																																										0
Crafted Cold Rupture	427	100			1				1		69	75	cs2	charm	1004	3	5000	lblu	lblu						pierce-immunity-cold		300	300	res-cold		-70	-70	Gelid-Affix1		1	1	Gelid-Affix2		1	1	Gelid-Affix3		1	1	Gelid-Affix4		1	1	Gelid-Affix5		1	1	Gelid-Affix6		1	1																		0
PreCrafted Flame Rift	428	100		1					1	1	69	75	cm3	charm	0	3	5000	lred	lred						pierce-immunity-fire		300	300	res-fire		-75	-70																																										0
PreCrafted Crack of the Heavens	429	100		1					1	1	69	75	cm3	charm	0	3	5000	lyel	lyel						pierce-immunity-light		300	300	res-ltng		-75	-70																																										0
PreCrafted Rotting Fissure	430	100		1					1	1	69	75	cm3	charm	0	3	5000	lgrn	lgrn						pierce-immunity-poison		300	300	res-pois		-75	-70																																										0
PreCrafted Bone Break	431	100		1					1	1	69	75	cm3	charm	0	3	5000	whit	whit						pierce-immunity-damage		300	300	red-dmg%		-12	-10																																										0
PreCrafted Black Cleft	432	100		1					1	1	69	75	cm3	charm	0	3	5000	lgry	lgry						pierce-immunity-magic		300	300	res-mag		-50	-45																																										0
Crafted Flame Rift	433	100			1				1		69	75	cs2	charm	1004	3	5000	lred	lred						pierce-immunity-fire		300	300	res-fire		-70	-70	Incendiary-Affix1		1	1	Incendiary-Affix2		1	1	Incendiary-Affix3		1	1	Incendiary-Affix4		1	1					Incendiary-Affix6		1	1																		0
Crafted Crack of the Heavens	434	100			1				1		69	75	cs2	charm	1004	3	5000	lyel	lyel						pierce-immunity-light		300	300	res-ltng		-70	-70	Magnetic-Affix1		1	1	Magnetic-Affix2		1	1	Magnetic-Affix3		1	1	Magnetic-Affix4		1	1					Magnetic-Affix6		1	1																		0
Crafted Rotting Fissure	435	100			1				1		69	75	cs2	charm	1004	3	5000	lgrn	lgrn						pierce-immunity-poison		300	300	res-pois		-70	-70	Virulent-Affix1		1	1	Virulent-Affix2		1	1	Virulent-Affix3		1	1	Virulent-Affix4		1	1					Virulent-Affix6		1	1																		0
Crafted Bone Break	436	100			1				1		69	75	cs2	charm	1004	3	5000	whit	whit						pierce-immunity-damage		300	300	red-dmg%		-10	-10	Breaching-Affix1		1	1	Breaching-Affix2		1	1	Breaching-Affix3		1	1	Breaching-Affix4		1	1					Breaching-Affix6		1	1																		0
Crafted Black Cleft	437	100			1				1		69	75	cs2	charm	1004	3	5000	lgry	lgry						pierce-immunity-magic		300	300	res-mag		-45	-45	Mystical-Affix1		1	1	Mystical-Affix2		1	1	Mystical-Affix3		1	1	Mystical-Affix4		1	1					Mystical-Affix6		1	1																		0
