description	enabled	firstLadderSeason	lastLadderSeason	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
JM skill-charms-paladin random 70b	1				100					2	70b	900						"cm3,mag,pre=468"	99																												70b	1																												900	1																												0
JM skill-charms-paladin vitality 70b	1				100					2	70b	901						"cm3,mag,pre=468,suf=339"	99																												70b	1																												901	1																												0
JM skill-charms-paladin fhr 70b	1				100					2	70b	902						"cm3,mag,pre=468,suf=265"	99																												70b	1																												902	1																												0
JM skill-charms-paladin movement 70b	1				100					2	70b	903						"cm3,mag,pre=468,suf=399"	99																												70b	1																												903	1																												0
JM skill-charms-paladin strength 70b	1				100					2	70b	904						"cm3,mag,pre=468,suf=390"	99																												70b	1																												904	1																												0
JM skill-charms-paladin dexterity 70b	1				100					2	70b	905						"cm3,mag,pre=468,suf=258"	99																												70b	1																												905	1																												0
JM skill-charms-barbarian next 70c	1				100					2	70c	tsc						70d																													tsc	1																																																									0
JM skill-charms-barbarian previous 70c	1				100					2	70c	isc						70e																													isc	1																																																									0
JM skill-charms-barbarian random 70c	1				100					2	70c	900						"cm3,mag,pre=478"	99																												70c	1																												900	1																												0
JM skill-charms-barbarian vitality 70c	1				100					2	70c	901						"cm3,mag,pre=478,suf=339"	99																												70c	1																												901	1																												0
JM skill-charms-barbarian fhr 70c	1				100					2	70c	902						"cm3,mag,pre=478,suf=265"	99																												70c	1																												902	1																												0
JM skill-charms-barbarian movement 70c	1				100					2	70c	903						"cm3,mag,pre=478,suf=399"	99																												70c	1																												903	1																												0
JM skill-charms-barbarian strength 70c	1				100					2	70c	904						"cm3,mag,pre=478,suf=390"	99																												70c	1																												904	1																												0
JM skill-charms-barbarian dexterity 70c	1				100					2	70c	905						"cm3,mag,pre=478,suf=258"	99																												70c	1																												905	1																												0
JM skill-charms-barbarian next 70d	1				100					2	70d	tsc						70e																													tsc	1																																																									0
JM skill-charms-barbarian previous 70d	1				100					2	70d	isc						70c																													isc	1																																																									0
JM skill-charms-barbarian random 70d	1				100					2	70d	900						"cm3,mag,pre=479"	99																												70d	1																												900	1																												0
JM skill-charms-barbarian vitality 70d	1				100					2	70d	901						"cm3,mag,pre=479,suf=339"	99																												70d	1																												901	1																												0
JM skill-charms-barbarian fhr 70d	1				100					2	70d	902						"cm3,mag,pre=479,suf=265"	99																												70d	1																												902	1																												0
JM skill-charms-barbarian movement 70d	1				100					2	70d	903						"cm3,mag,pre=479,suf=399"	99																												70d	1																												903	1																												0
JM skill-charms-barbarian strength 70d	1				100					2	70d	904						"cm3,mag,pre=479,suf=390"	99																												70d	1																												904	1																												0
JM skill-charms-barbarian dexterity 70d	1				100					2	70d	905						"cm3,mag,pre=479,suf=258"	99																												70d	1																												905	1																												0
JM skill-charms-barbarian next 70e	1				100					2	70e	tsc						70c																													tsc	1																																																									0
JM skill-charms-barbarian previous 70e	1				100					2	70e	isc						70d																													isc	1																																																									0
JM skill-charms-barbarian random 70e	1				100					2	70e	900						"cm3,mag,pre=480"	99																												70e	1																												900	1																												0
JM skill-charms-barbarian vitality 70e	1				100					2	70e	901						"cm3,mag,pre=480,suf=339"	99																												70e	1																												901	1																												0
JM skill-charms-barbarian fhr 70e	1				100					2	70e	902						"cm3,mag,pre=480,suf=265"	99																												70e	1																												902	1																												0
JM skill-charms-barbarian movement 70e	1				100					2	70e	903						"cm3,mag,pre=480,suf=399"	99																												70e	1																												903	1																												0
JM skill-charms-barbarian strength 70e	1				100					2	70e	904						"cm3,mag,pre=480,suf=390"	99																												70e	1																												904	1																												0
JM skill-charms-barbarian dexterity 70e	1				100					2	70e	905						"cm3,mag,pre=480,suf=258"	99																												70e	1																												905	1																												0
JM skill-charms-druid next 70f	1				100					2	70f	tsc						70g																													tsc	1																																																									0
JM skill-charms-druid previous 70f	1				100					2	70f	isc						70h																													isc	1																																																									0
JM skill-charms-druid random 70f	1				100					2	70f	900						"cm3,mag,pre=490"	99																												70f	1																												900	1																												0
JM skill-charms-druid vitality 70f	1				100					2	70f	901						"cm3,mag,pre=490,suf=339"	99																												70f	1																												901	1																												0
JM skill-charms-druid fhr 70f	1				100					2	70f	902						"cm3,mag,pre=490,suf=265"	99																												70f	1																												902	1																												0
JM skill-charms-druid movement 70f	1				100					2	70f	903						"cm3,mag,pre=490,suf=399"	99																												70f	1																												903	1																												0
JM skill-charms-druid strength 70f	1				100					2	70f	904						"cm3,mag,pre=490,suf=390"	99																												70f	1																												904	1																												0
JM skill-charms-druid dexterity 70f	1				100					2	70f	905						"cm3,mag,pre=490,suf=258"	99																												70f	1																												905	1																												0
JM skill-charms-druid next 70g	1				100					2	70g	tsc						70h																													tsc	1																																																									0
JM skill-charms-druid previous 70g	1				100					2	70g	isc						70f																													isc	1																																																									0
JM skill-charms-druid random 70g	1				100					2	70g	900						"cm3,mag,pre=491"	99																												70g	1																												900	1																												0
JM skill-charms-druid vitality 70g	1				100					2	70g	901						"cm3,mag,pre=491,suf=339"	99																												70g	1																												901	1																												0
JM skill-charms-druid fhr 70g	1				100					2	70g	902						"cm3,mag,pre=491,suf=265"	99																												70g	1																												902	1																												0
JM skill-charms-druid movement 70g	1				100					2	70g	903						"cm3,mag,pre=491,suf=399"	99																												70g	1																												903	1																												0
JM skill-charms-druid strength 70g	1				100					2	70g	904						"cm3,mag,pre=491,suf=390"	99																												70g	1																												904	1																												0
JM skill-charms-druid dexterity 70g	1				100					2	70g	905						"cm3,mag,pre=491,suf=258"	99																												70g	1																												905	1																												0
JM skill-charms-druid next 70h	1				100					2	70h	tsc						70f																													tsc	1																																																									0
JM skill-charms-druid previous 70h	1				100					2	70h	isc						70g																													isc	1																																																									0
JM skill-charms-druid random 70h	1				100					2	70h	900						"cm3,mag,pre=492"	99																												70h	1																												900	1																												0
JM skill-charms-druid vitality 70h	1				100					2	70h	901						"cm3,mag,pre=492,suf=339"	99																												70h	1																												901	1																												0
JM skill-charms-druid fhr 70h	1				100					2	70h	902						"cm3,mag,pre=492,suf=265"	99																												70h	1																												902	1																												0
JM skill-charms-druid movement 70h	1				100					2	70h	903						"cm3,mag,pre=492,suf=399"	99																												70h	1																												903	1																												0
JM skill-charms-druid strength 70h	1				100					2	70h	904						"cm3,mag,pre=492,suf=390"	99																												70h	1																												904	1																												0
JM skill-charms-druid dexterity 70h	1				100					2	70h	905						"cm3,mag,pre=492,suf=258"	99																												70h	1																												905	1																												0
JM skill-charms-assassin next 70i	1				100					2	70i	tsc						70j																													tsc	1																																																									0
JM skill-charms-assassin previous 70i	1				100					2	70i	isc						70k																													isc	1																																																									0
JM skill-charms-assassin random 70i	1				100					2	70i	900						"cm3,mag,pre=502"	99																												70i	1																												900	1																												0
JM skill-charms-assassin vitality 70i	1				100					2	70i	901						"cm3,mag,pre=502,suf=339"	99																												70i	1																												901	1																												0
JM skill-charms-assassin fhr 70i	1				100					2	70i	902						"cm3,mag,pre=502,suf=265"	99																												70i	1																												902	1																												0
JM skill-charms-assassin movement 70i	1				100					2	70i	903						"cm3,mag,pre=502,suf=399"	99																												70i	1																												903	1																												0
JM skill-charms-assassin strength 70i	1				100					2	70i	904						"cm3,mag,pre=502,suf=390"	99																												70i	1																												904	1																												0
JM skill-charms-assassin dexterity 70i	1				100					2	70i	905						"cm3,mag,pre=502,suf=258"	99																												70i	1																												905	1																												0
JM skill-charms-assassin next 70j	1				100					2	70j	tsc						70k																													tsc	1																																																									0
JM skill-charms-assassin previous 70j	1				100					2	70j	isc						70i																													isc	1																																																									0
JM skill-charms-assassin random 70j	1				100					2	70j	900						"cm3,mag,pre=503"	99																												70j	1																												900	1																												0
JM skill-charms-assassin vitality 70j	1				100					2	70j	901						"cm3,mag,pre=503,suf=339"	99																												70j	1																												901	1																												0
JM skill-charms-assassin fhr 70j	1				100					2	70j	902						"cm3,mag,pre=503,suf=265"	99																												70j	1																												902	1																												0
JM skill-charms-assassin movement 70j	1				100					2	70j	903						"cm3,mag,pre=503,suf=399"	99																												70j	1																												903	1																												0
JM skill-charms-assassin strength 70j	1				100					2	70j	904						"cm3,mag,pre=503,suf=390"	99																												70j	1																												904	1																												0
JM skill-charms-assassin dexterity 70j	1				100					2	70j	905						"cm3,mag,pre=503,suf=258"	99																												70j	1																												905	1																												0
JM skill-charms-assassin next 70k	1				100					2	70k	tsc						70i																													tsc	1																																																									0
JM skill-charms-assassin previous 70k	1				100					2	70k	isc						70j																													isc	1																																																									0
JM skill-charms-assassin random 70k	1				100					2	70k	900						"cm3,mag,pre=504"	99																												70k	1																												900	1																												0
JM skill-charms-assassin vitality 70k	1				100					2	70k	901						"cm3,mag,pre=504,suf=339"	99																												70k	1																												901	1																												0
JM skill-charms-assassin fhr 70k	1				100					2	70k	902						"cm3,mag,pre=504,suf=265"	99																												70k	1																												902	1																												0
JM skill-charms-assassin movement 70k	1				100					2	70k	903						"cm3,mag,pre=504,suf=399"	99																												70k	1																												903	1																												0
JM skill-charms-assassin strength 70k	1				100					2	70k	904						"cm3,mag,pre=504,suf=390"	99																												70k	1																												904	1																												0
JM skill-charms-assassin dexterity 70k	1				100					2	70k	905						"cm3,mag,pre=504,suf=258"	99																												70k	1																												905	1																												0
JM skill-charms-warlock next 70l	1				100					2	70l	tsc						70m																													tsc	1																																																									0
JM skill-charms-warlock previous 70l	1				100					2	70l	isc						70n																													isc	1																																																									0
JM skill-charms-warlock random 70l	1				100					2	70l	900						"cm3,mag,pre=702"	99																												70l	1																												900	1																												0
JM skill-charms-warlock vitality 70l	1				100					2	70l	901						"cm3,mag,pre=702,suf=339"	99																												70l	1																												901	1																												0
JM skill-charms-warlock fhr 70l	1				100					2	70l	902						"cm3,mag,pre=702,suf=265"	99																												70l	1																												902	1																												0
JM skill-charms-warlock movement 70l	1				100					2	70l	903						"cm3,mag,pre=702,suf=399"	99																												70l	1																												903	1																												0
JM skill-charms-warlock strength 70l	1				100					2	70l	904						"cm3,mag,pre=702,suf=390"	99																												70l	1																												904	1																												0
JM skill-charms-warlock dexterity 70l	1				100					2	70l	905						"cm3,mag,pre=702,suf=258"	99																												70l	1																												905	1																												0
JM skill-charms-warlock next 70m	1				100					2	70m	tsc						70n																													tsc	1																																																									0
JM skill-charms-warlock previous 70m	1				100					2	70m	isc						70l																													isc	1																																																									0
JM skill-charms-warlock random 70m	1				100					2	70m	900						"cm3,mag,pre=701"	99																												70m	1																												900	1																												0
JM skill-charms-warlock vitality 70m	1				100					2	70m	901						"cm3,mag,pre=701,suf=339"	99																												70m	1																												901	1																												0
JM skill-charms-warlock fhr 70m	1				100					2	70m	902						"cm3,mag,pre=701,suf=265"	99																												70m	1																												902	1																												0
JM skill-charms-warlock movement 70m	1				100					2	70m	903						"cm3,mag,pre=701,suf=399"	99																												70m	1																												903	1																												0
JM skill-charms-warlock strength 70m	1				100					2	70m	904						"cm3,mag,pre=701,suf=390"	99																												70m	1																												904	1																												0
JM skill-charms-warlock dexterity 70m	1				100					2	70m	905						"cm3,mag,pre=701,suf=258"	99																												70m	1																												905	1																												0
JM skill-charms-warlock next 70n	1				100					2	70n	tsc						70l																													tsc	1																																																									0
JM skill-charms-warlock previous 70n	1				100					2	70n	isc						70m																													isc	1																																																									0
JM skill-charms-warlock random 70n	1				100					2	70n	900						"cm3,mag,pre=700"	99																												70n	1																												900	1																												0
JM skill-charms-warlock vitality 70n	1				100					2	70n	901						"cm3,mag,pre=700,suf=339"	99																												70n	1																												901	1																												0
JM skill-charms-warlock fhr 70n	1				100					2	70n	902						"cm3,mag,pre=700,suf=265"	99																												70n	1																												902	1																												0
JM skill-charms-warlock movement 70n	1				100					2	70n	903						"cm3,mag,pre=700,suf=399"	99																												70n	1																												903	1																												0
JM skill-charms-warlock strength 70n	1				100					2	70n	904						"cm3,mag,pre=700,suf=390"	99																												70n	1																												904	1																												0
JM skill-charms-warlock dexterity 70n	1				100					2	70n	905						"cm3,mag,pre=700,suf=258"	99																												70n	1																												905	1																												0
JM popular-small-charms next 70o	1				100					2	70o	tsc						70p																													tsc	1																																																									0
JM popular-small-charms previous 70o	1				100					2	70o	isc						70y																													isc	1																																																									0
JM popular-small-charms random 70o	1				100					2	70o	900						"cm1,mag,pre=256"	99																												70o	1																												900	1																												0
JM popular-small-charms vitality 70o	1				100					2	70o	901						"cm1,mag,pre=256,suf=349"	99																												70o	1																												901	1																												0
JM popular-small-charms fhr 70o	1				100					2	70o	902						"cm1,mag,pre=256,suf=267"	99																												70o	1																												902	1																												0
JM popular-small-charms movement 70o	1				100					2	70o	903						"cm1,mag,pre=256,suf=401"	99																												70o	1																												903	1																												0
JM popular-small-charms strength 70o	1				100					2	70o	904						"cm1,mag,pre=256,suf=392"	99																												70o	1																												904	1																												0
JM popular-small-charms dexterity 70o	1				100					2	70o	905						"cm1,mag,pre=256,suf=260"	99																												70o	1																												905	1																												0
JM popular-small-charms magic-find 70o	1				100					2	70o	906						"cm1,mag,pre=256,suf=291"	99																												70o	1																												906	1																												0
JM popular-small-charms next 70p	1				100					2	70p	tsc						70q																													tsc	1																																																									0
JM popular-small-charms previous 70p	1				100					2	70p	isc						70o																													isc	1																																																									0
JM popular-small-charms random 70p	1				100					2	70p	900						"cm1,mag,pre=322"	99																												70p	1																												900	1																												0
JM popular-small-charms vitality 70p	1				100					2	70p	901						"cm1,mag,pre=322,suf=349"	99																												70p	1																												901	1																												0
JM popular-small-charms fhr 70p	1				100					2	70p	902						"cm1,mag,pre=322,suf=267"	99																												70p	1																												902	1																												0
JM popular-small-charms movement 70p	1				100					2	70p	903						"cm1,mag,pre=322,suf=401"	99																												70p	1																												903	1																												0
JM popular-small-charms strength 70p	1				100					2	70p	904						"cm1,mag,pre=322,suf=392"	99																												70p	1																												904	1																												0
JM popular-small-charms dexterity 70p	1				100					2	70p	905						"cm1,mag,pre=322,suf=260"	99																												70p	1																												905	1																												0
JM popular-small-charms magic-find 70p	1				100					2	70p	906						"cm1,mag,pre=322,suf=291"	99																												70p	1																												906	1																												0
JM popular-small-charms next 70q	1				100					2	70q	tsc						70r																													tsc	1																																																									0
JM popular-small-charms previous 70q	1				100					2	70q	isc						70p																													isc	1																																																									0
JM popular-small-charms random 70q	1				100					2	70q	900						"cm1,mag,pre=349"	99																												70q	1																												900	1																												0
JM popular-small-charms vitality 70q	1				100					2	70q	901						"cm1,mag,pre=349,suf=349"	99																												70q	1																												901	1																												0
JM popular-small-charms fhr 70q	1				100					2	70q	902						"cm1,mag,pre=349,suf=267"	99																												70q	1																												902	1																												0
JM popular-small-charms movement 70q	1				100					2	70q	903						"cm1,mag,pre=349,suf=401"	99																												70q	1																												903	1																												0
JM popular-small-charms strength 70q	1				100					2	70q	904						"cm1,mag,pre=349,suf=392"	99																												70q	1																												904	1																												0
JM popular-small-charms dexterity 70q	1				100					2	70q	905						"cm1,mag,pre=349,suf=260"	99																												70q	1																												905	1																												0
JM popular-small-charms magic-find 70q	1				100					2	70q	906						"cm1,mag,pre=349,suf=291"	99																												70q	1																												906	1																												0
JM popular-small-charms next 70r	1				100					2	70r	tsc						70s																													tsc	1																																																									0
JM popular-small-charms previous 70r	1				100					2	70r	isc						70q																													isc	1																																																									0
JM popular-small-charms random 70r	1				100					2	70r	900						"cm1,mag,pre=369"	99																												70r	1																												900	1																												0
JM popular-small-charms vitality 70r	1				100					2	70r	901						"cm1,mag,pre=369,suf=349"	99																												70r	1																												901	1																												0
JM popular-small-charms fhr 70r	1				100					2	70r	902						"cm1,mag,pre=369,suf=267"	99																												70r	1																												902	1																												0
JM popular-small-charms movement 70r	1				100					2	70r	903						"cm1,mag,pre=369,suf=401"	99																												70r	1																												903	1																												0
JM popular-small-charms strength 70r	1				100					2	70r	904						"cm1,mag,pre=369,suf=392"	99																												70r	1																												904	1																												0
JM popular-small-charms dexterity 70r	1				100					2	70r	905						"cm1,mag,pre=369,suf=260"	99																												70r	1																												905	1																												0
JM popular-small-charms magic-find 70r	1				100					2	70r	906						"cm1,mag,pre=369,suf=291"	99																												70r	1																												906	1																												0
JM popular-small-charms next 70s	1				100					2	70s	tsc						70t																													tsc	1																																																									0
JM popular-small-charms previous 70s	1				100					2	70s	isc						70r																													isc	1																																																									0
JM popular-small-charms random 70s	1				100					2	70s	900						"cm1,mag,pre=388"	99																												70s	1																												900	1																												0
JM popular-small-charms vitality 70s	1				100					2	70s	901						"cm1,mag,pre=388,suf=349"	99																												70s	1																												901	1																												0
JM popular-small-charms fhr 70s	1				100					2	70s	902						"cm1,mag,pre=388,suf=267"	99																												70s	1																												902	1																												0
JM popular-small-charms movement 70s	1				100					2	70s	903						"cm1,mag,pre=388,suf=401"	99																												70s	1																												903	1																												0
JM popular-small-charms strength 70s	1				100					2	70s	904						"cm1,mag,pre=388,suf=392"	99																												70s	1																												904	1																												0
JM popular-small-charms dexterity 70s	1				100					2	70s	905						"cm1,mag,pre=388,suf=260"	99																												70s	1																												905	1																												0
JM popular-small-charms magic-find 70s	1				100					2	70s	906						"cm1,mag,pre=388,suf=291"	99																												70s	1																												906	1																												0
JM popular-small-charms next 70t	1				100					2	70t	tsc						70u																													tsc	1																																																									0
JM popular-small-charms previous 70t	1				100					2	70t	isc						70s																													isc	1																																																									0
JM popular-small-charms random 70t	1				100					2	70t	900						"cm1,mag,pre=408"	99																												70t	1																												900	1																												0
JM popular-small-charms vitality 70t	1				100					2	70t	901						"cm1,mag,pre=408,suf=349"	99																												70t	1																												901	1																												0
JM popular-small-charms fhr 70t	1				100					2	70t	902						"cm1,mag,pre=408,suf=267"	99																												70t	1																												902	1																												0
JM popular-small-charms movement 70t	1				100					2	70t	903						"cm1,mag,pre=408,suf=401"	99																												70t	1																												903	1																												0
JM popular-small-charms strength 70t	1				100					2	70t	904						"cm1,mag,pre=408,suf=392"	99																												70t	1																												904	1																												0
JM popular-small-charms dexterity 70t	1				100					2	70t	905						"cm1,mag,pre=408,suf=260"	99																												70t	1																												905	1																												0
JM popular-small-charms magic-find 70t	1				100					2	70t	906						"cm1,mag,pre=408,suf=291"	99																												70t	1																												906	1																												0
JM popular-small-charms next 70u	1				100					2	70u	tsc						70v																													tsc	1																																																									0
JM popular-small-charms previous 70u	1				100					2	70u	isc						70t																													isc	1																																																									0
JM popular-small-charms random 70u	1				100					2	70u	900						"cm1,mag,pre=303"	99																												70u	1																												900	1																												0
JM popular-small-charms vitality 70u	1				100					2	70u	901						"cm1,mag,pre=303,suf=349"	99																												70u	1																												901	1																												0
JM popular-small-charms fhr 70u	1				100					2	70u	902						"cm1,mag,pre=303,suf=267"	99																												70u	1																												902	1																												0
JM popular-small-charms movement 70u	1				100					2	70u	903						"cm1,mag,pre=303,suf=401"	99																												70u	1																												903	1																												0
JM popular-small-charms strength 70u	1				100					2	70u	904						"cm1,mag,pre=303,suf=392"	99																												70u	1																												904	1																												0
JM popular-small-charms dexterity 70u	1				100					2	70u	905						"cm1,mag,pre=303,suf=260"	99																												70u	1																												905	1																												0
JM popular-small-charms magic-find 70u	1				100					2	70u	906						"cm1,mag,pre=303,suf=291"	99																												70u	1																												906	1																												0
JM popular-small-charms next 70v	1				100					2	70v	tsc						70w																													tsc	1																																																									0
JM popular-small-charms previous 70v	1				100					2	70v	isc						70u																													isc	1																																																									0
JM popular-small-charms random 70v	1				100					2	70v	900						"cm1,mag,pre=661"	99																												70v	1																												900	1																												0
JM popular-small-charms vitality 70v	1				100					2	70v	901						"cm1,mag,pre=661,suf=349"	99																												70v	1																												901	1																												0
JM popular-small-charms fhr 70v	1				100					2	70v	902						"cm1,mag,pre=661,suf=267"	99																												70v	1																												902	1																												0
JM popular-small-charms movement 70v	1				100					2	70v	903						"cm1,mag,pre=661,suf=401"	99																												70v	1																												903	1																												0
JM popular-small-charms strength 70v	1				100					2	70v	904						"cm1,mag,pre=661,suf=392"	99																												70v	1																												904	1																												0
JM popular-small-charms dexterity 70v	1				100					2	70v	905						"cm1,mag,pre=661,suf=260"	99																												70v	1																												905	1																												0
JM popular-small-charms magic-find 70v	1				100					2	70v	906						"cm1,mag,pre=661,suf=291"	99																												70v	1																												906	1																												0
JM popular-small-charms next 70w	1				100					2	70w	tsc						70x																													tsc	1																																																									0
JM popular-small-charms previous 70w	1				100					2	70w	isc						70v																													isc	1																																																									0
JM popular-small-charms random 70w	1				100					2	70w	900						"cm1,mag,pre=637"	99																												70w	1																												900	1																												0
JM popular-small-charms vitality 70w	1				100					2	70w	901						"cm1,mag,pre=637,suf=349"	99																												70w	1																												901	1																												0
JM popular-small-charms fhr 70w	1				100					2	70w	902						"cm1,mag,pre=637,suf=267"	99																												70w	1																												902	1																												0
JM popular-small-charms movement 70w	1				100					2	70w	903						"cm1,mag,pre=637,suf=401"	99																												70w	1																												903	1																												0
JM popular-small-charms strength 70w	1				100					2	70w	904						"cm1,mag,pre=637,suf=392"	99																												70w	1																												904	1																												0
JM popular-small-charms dexterity 70w	1				100					2	70w	905						"cm1,mag,pre=637,suf=260"	99																												70w	1																												905	1																												0
JM popular-small-charms magic-find 70w	1				100					2	70w	906						"cm1,mag,pre=637,suf=291"	99																												70w	1																												906	1																												0
JM popular-small-charms next 70x	1				100					2	70x	tsc						70y																													tsc	1																																																									0
JM popular-small-charms previous 70x	1				100					2	70x	isc						70w																													isc	1																																																									0
JM popular-small-charms random 70x	1				100					2	70x	900						"cm1,mag,pre=649"	99																												70x	1																												900	1																												0
JM popular-small-charms vitality 70x	1				100					2	70x	901						"cm1,mag,pre=649,suf=349"	99																												70x	1																												901	1																												0
JM popular-small-charms fhr 70x	1				100					2	70x	902						"cm1,mag,pre=649,suf=267"	99																												70x	1																												902	1																												0
JM popular-small-charms movement 70x	1				100					2	70x	903						"cm1,mag,pre=649,suf=401"	99																												70x	1																												903	1																												0
JM popular-small-charms strength 70x	1				100					2	70x	904						"cm1,mag,pre=649,suf=392"	99																												70x	1																												904	1																												0
JM popular-small-charms dexterity 70x	1				100					2	70x	905						"cm1,mag,pre=649,suf=260"	99																												70x	1																												905	1																												0
JM popular-small-charms magic-find 70x	1				100					2	70x	906						"cm1,mag,pre=649,suf=291"	99																												70x	1																												906	1																												0
JM popular-small-charms next 70y	1				100					2	70y	tsc						70o																													tsc	1																																																									0
JM popular-small-charms previous 70y	1				100					2	70y	isc						70x																													isc	1																																																									0
JM popular-small-charms random 70y	1				100					2	70y	900						"cm1,mag,pre=624"	99																												70y	1																												900	1																												0
JM popular-small-charms vitality 70y	1				100					2	70y	901						"cm1,mag,pre=624,suf=349"	99																												70y	1																												901	1																												0
JM popular-small-charms fhr 70y	1				100					2	70y	902						"cm1,mag,pre=624,suf=267"	99																												70y	1																												902	1																												0
JM popular-small-charms movement 70y	1				100					2	70y	903						"cm1,mag,pre=624,suf=401"	99																												70y	1																												903	1																												0
JM popular-small-charms strength 70y	1				100					2	70y	904						"cm1,mag,pre=624,suf=392"	99																												70y	1																												904	1																												0
JM popular-small-charms dexterity 70y	1				100					2	70y	905						"cm1,mag,pre=624,suf=260"	99																												70y	1																												905	1																												0
JM popular-small-charms magic-find 70y	1				100					2	70y	906						"cm1,mag,pre=624,suf=291"	99																												70y	1																												906	1																												0
JM popular-large-charms next 70z	1				100					2	70z	tsc						710																													tsc	1																																																									0
JM popular-large-charms previous 70z	1				100					2	70z	isc						719																													isc	1																																																									0
JM popular-large-charms random 70z	1				100					2	70z	900						"cm2,mag,pre=255"	99																												70z	1																												900	1																												0
JM popular-large-charms vitality 70z	1				100					2	70z	901						"cm2,mag,pre=255,suf=346"	99																												70z	1																												901	1																												0
JM popular-large-charms fhr 70z	1				100					2	70z	902						"cm2,mag,pre=255,suf=266"	99																												70z	1																												902	1																												0
JM popular-large-charms movement 70z	1				100					2	70z	903						"cm2,mag,pre=255,suf=400"	99																												70z	1																												903	1																												0
JM popular-large-charms strength 70z	1				100					2	70z	904						"cm2,mag,pre=255,suf=391"	99																												70z	1																												904	1																												0
JM popular-large-charms dexterity 70z	1				100					2	70z	905						"cm2,mag,pre=255,suf=259"	99																												70z	1																												905	1																												0
JM popular-large-charms next 710	1				100					2	710	tsc						711																													tsc	1																																																									0
JM popular-large-charms previous 710	1				100					2	710	isc						70z																													isc	1																																																									0
JM popular-large-charms random 710	1				100					2	710	900						"cm2,mag,pre=321"	99																												710	1																												900	1																												0
JM popular-large-charms vitality 710	1				100					2	710	901						"cm2,mag,pre=321,suf=346"	99																												710	1																												901	1																												0
JM popular-large-charms fhr 710	1				100					2	710	902						"cm2,mag,pre=321,suf=266"	99																												710	1																												902	1																												0
JM popular-large-charms movement 710	1				100					2	710	903						"cm2,mag,pre=321,suf=400"	99																												710	1																												903	1																												0
JM popular-large-charms strength 710	1				100					2	710	904						"cm2,mag,pre=321,suf=391"	99																												710	1																												904	1																												0
JM popular-large-charms dexterity 710	1				100					2	710	905						"cm2,mag,pre=321,suf=259"	99																												710	1																												905	1																												0
JM popular-large-charms next 711	1				100					2	711	tsc						712																													tsc	1																																																									0
JM popular-large-charms previous 711	1				100					2	711	isc						710																													isc	1																																																									0
JM popular-large-charms random 711	1				100					2	711	900						"cm2,mag,pre=345"	99																												711	1																												900	1																												0
JM popular-large-charms vitality 711	1				100					2	711	901						"cm2,mag,pre=345,suf=346"	99																												711	1																												901	1																												0
JM popular-large-charms fhr 711	1				100					2	711	902						"cm2,mag,pre=345,suf=266"	99																												711	1																												902	1																												0
JM popular-large-charms movement 711	1				100					2	711	903						"cm2,mag,pre=345,suf=400"	99																												711	1																												903	1																												0
JM popular-large-charms strength 711	1				100					2	711	904						"cm2,mag,pre=345,suf=391"	99																												711	1																												904	1																												0
JM popular-large-charms dexterity 711	1				100					2	711	905						"cm2,mag,pre=345,suf=259"	99																												711	1																												905	1																												0
JM popular-large-charms next 712	1				100					2	712	tsc						713																													tsc	1																																																									0
JM popular-large-charms previous 712	1				100					2	712	isc						711																													isc	1																																																									0
JM popular-large-charms random 712	1				100					2	712	900						"cm2,mag,pre=365"	99																												712	1																												900	1																												0
JM popular-large-charms vitality 712	1				100					2	712	901						"cm2,mag,pre=365,suf=346"	99																												712	1																												901	1																												0
JM popular-large-charms fhr 712	1				100					2	712	902						"cm2,mag,pre=365,suf=266"	99																												712	1																												902	1																												0
JM popular-large-charms movement 712	1				100					2	712	903						"cm2,mag,pre=365,suf=400"	99																												712	1																												903	1																												0
JM popular-large-charms strength 712	1				100					2	712	904						"cm2,mag,pre=365,suf=391"	99																												712	1																												904	1																												0
JM popular-large-charms dexterity 712	1				100					2	712	905						"cm2,mag,pre=365,suf=259"	99																												712	1																												905	1																												0
JM popular-large-charms next 713	1				100					2	713	tsc						714																													tsc	1																																																									0
